Borough,CrimeType,2014,2016,2019,2018,2015,2017,2020,2012,2013
Hounslow,Theft,5278,5479,5560,5461,5455,5898,4163,6101,5489
Greenwich,Burglary,2149,1785,2518,2392,1864,2211,1660,2323,2385
Croydon,Burglary,3146,2741,2819,2799,2719,2685,2331,4049,3973
Hackney,Miscellaneous Crimes Against Society,306,307,300,306,316,294,335,227,219
Islington,Arson and Criminal Damage,1916,1843,1507,1623,1927,1760,1443,1833,1574
Kingston upon Thames,Miscellaneous Crimes Against Society,100,124,166,130,119,151,130,106,78
Hackney,Arson and Criminal Damage,1854,1930,1761,1826,1972,1958,1754,1817,1636
Lewisham,Burglary,2335,2077,2646,2538,2146,2328,2424,3301,3307
Haringey,Burglary,2891,2473,2829,3181,2568,2365,2049,3445,2745
Bromley,Theft,5004,5109,5279,5266,5013,5024,3987,5047,4938
Hounslow,Burglary,1927,1806,2220,2249,1781,2279,1765,2934,2478
Bromley,Burglary,2692,2213,2742,2597,2524,2589,1737,3447,3127
Bexley,Arson and Criminal Damage,1404,1600,1613,1506,1500,1687,1426,1560,1408
Newham,Arson and Criminal Damage,2154,2413,2161,2320,2312,2310,1967,2306,2038
Westminster,Burglary,3439,3219,4633,4336,3154,3512,3037,4081,3911
Ealing,Vehicle Offences,3641,3414,5432,4236,3417,3760,4590,4264,3884
Barnet,Theft,5670,6122,6612,6187,5635,6437,5064,6421,5873
Bexley,Vehicle Offences,1795,1744,3375,2373,1737,2042,2376,1777,1729
Merton,Vehicle Offences,1664,1825,2057,1931,1463,1778,2043,1995,1652
Kensington and Chelsea,Miscellaneous Crimes Against Society,186,252,145,215,203,275,174,192,210
Bexley,Burglary,1542,1123,1754,1639,1085,1331,1029,1699,1792
Hillingdon,Drug Offences,889,1013,1334,911,1058,766,1722,1039,984
Hillingdon,Miscellaneous Crimes Against Society,241,334,327,288,286,304,456,189,227
Sutton,Theft,2461,2218,2627,2368,2276,2355,2044,2660,2498
Islington,Vehicle Offences,2394,2391,3074,2769,2441,2992,2576,2337,2238
Barking and Dagenham,Drug Offences,814,936,1065,880,946,739,1579,957,1102
Bexley,Theft,2502,2658,2867,2800,2441,2984,2240,2641,2544
Southwark,Theft,8366,9451,12569,10320,8935,10018,8333,10428,10551
Lambeth,Theft,9298,9641,10153,9262,9574,9742,6612,11568,10783
Barnet,Vehicle Offences,3435,3650,6506,5253,3589,3862,5098,4033,4075
Tower Hamlets,Theft,6917,8039,9180,8387,7130,8334,6958,8439,7808
Waltham Forest,Drug Offences,1363,1063,1787,1172,1450,895,1819,1295,1702
Ealing,Arson and Criminal Damage,2260,2491,2186,2124,2408,2280,2035,2556,2213
Westminster,Vehicle Offences,3354,3995,4645,4203,3160,4350,3750,3167,3496
Brent,Vehicle Offences,2427,3134,4563,3955,3011,4035,4312,2972,2773
Camden,Miscellaneous Crimes Against Society,252,272,294,246,229,264,257,290,277
Waltham Forest,Burglary,2472,1874,1961,2193,2230,2433,1839,2948,2706
Harrow,Drug Offences,939,482,807,591,622,515,1091,706,902
Lewisham,Arson and Criminal Damage,2133,2287,2148,2170,2401,2283,2090,2389,2147
Bexley,Drug Offences,765,650,719,608,677,500,859,794,839
Lewisham,Miscellaneous Crimes Against Society,254,390,384,363,295,365,359,215,263
Bromley,Vehicle Offences,2473,2495,4209,3481,2605,3277,3639,2841,2790
Camden,Theft,10897,11265,17116,14576,11850,16289,10162,14988,13040
