Borough,CrimeType,2021,2022,2023,2024,2025
Barking and Dagenham,ARSON AND CRIMINAL DAMAGE,2870,3104,2930,2895,224
Barking and Dagenham,BURGLARY,2224,2356,2242,1914,172
Barking and Dagenham,MISCELLANEOUS CRIMES AGAINST SOCIETY,710,768,646,683,55
Barking and Dagenham,VIOLENCE AGAINST THE PERSON,13132,14572,15228,14791,1220
Barking and Dagenham,DRUG OFFENCES,5034,5342,4708,3534,397
Barking and Dagenham,POSSESSION OF WEAPONS,502,540,632,336,34
Barking and Dagenham,THEFT,5838,7244,8972,8243,628
Barking and Dagenham,SEXUAL OFFENCES,1048,1346,1258,1420,92
Barking and Dagenham,VEHICLE OFFENCES,4314,5632,5322,4412,371
Barking and Dagenham,FRAUD AND FORGERY,0,0,2,10,0
Barking and Dagenham,PUBLIC ORDER OFFENCES,2600,2716,2960,2663,166
Barking and Dagenham,ROBBERY,1088,1280,1816,1745,90
Barnet,ARSON AND CRIMINAL DAMAGE,3592,3848,3854,3688,287
Barnet,ROBBERY,1334,1556,1968,1779,111
Barnet,SEXUAL OFFENCES,1438,1624,1452,1624,146
Barnet,VIOLENCE AGAINST THE PERSON,15752,16614,16788,15455,1241
Barnet,POSSESSION OF WEAPONS,420,522,428,305,42
Barnet,PUBLIC ORDER OFFENCES,4072,3946,4244,3904,288
Barnet,FRAUD AND FORGERY,0,0,0,7,0
Barnet,THEFT,9702,11554,12754,13693,1055
Barnet,VEHICLE OFFENCES,9136,10000,9208,8038,617
Barnet,BURGLARY,4474,5410,5092,4991,522
Barnet,DRUG OFFENCES,3626,3400,3254,3256,321
Barnet,MISCELLANEOUS CRIMES AGAINST SOCIETY,872,912,858,774,86
Bexley,SEXUAL OFFENCES,870,1048,1046,1106,102
Bexley,ROBBERY,348,574,750,686,75
Bexley,PUBLIC ORDER OFFENCES,2320,2482,2684,2460,199
Bexley,DRUG OFFENCES,3128,2750,2394,2138,378
Bexley,VIOLENCE AGAINST THE PERSON,10614,12188,12454,11096,859
Bexley,MISCELLANEOUS CRIMES AGAINST SOCIETY,620,648,566,565,53
Bexley,BURGLARY,1426,1590,1928,1646,173
Bexley,FRAUD AND FORGERY,4,0,0,6,0
Bexley,POSSESSION OF WEAPONS,292,412,308,243,20
Bexley,VEHICLE OFFENCES,3604,4296,4244,4534,271
Bexley,THEFT,4434,5680,6340,7100,566
Bexley,ARSON AND CRIMINAL DAMAGE,2762,2950,3230,3390,217
Brent,POSSESSION OF WEAPONS,692,734,742,551,50
Brent,VEHICLE OFFENCES,6740,7436,7652,6914,483
Brent,FRAUD AND FORGERY,0,0,0,8,0
Brent,ARSON AND CRIMINAL DAMAGE,4078,4136,4252,4124,317
Brent,SEXUAL OFFENCES,1332,1732,1756,1848,180
Brent,THEFT,9426,12404,15342,17226,1417
Brent,DRUG OFFENCES,6360,6148,5220,5174,674
Brent,VIOLENCE AGAINST THE PERSON,18080,20752,20642,19834,1533
Brent,ROBBERY,1432,1954,2242,2341,206
Brent,PUBLIC ORDER OFFENCES,4366,4746,4760,4551,351
Brent,MISCELLANEOUS CRIMES AGAINST SOCIETY,984,932,874,771,60
Brent,NFIB FRAUD,0,0,0,2,0
Brent,BURGLARY,3464,3996,4472,4057,290
Bromley,SEXUAL OFFENCES,1082,1334,1448,1362,142
Bromley,MISCELLANEOUS CRIMES AGAINST SOCIETY,832,774,782,713,59
Bromley,PUBLIC ORDER OFFENCES,3590,3788,3580,3223,259
Bromley,ROBBERY,760,1112,1254,1323,112
Bromley,VIOLENCE AGAINST THE PERSON,13120,14434,14866,14261,1128
Bromley,FRAUD AND FORGERY,0,0,0,16,2
Bromley,VEHICLE OFFENCES,6512,6796,6296,6972,514
Bromley,THEFT,9364,10458,11936,12260,1039
Bromley,BURGLARY,2854,2974,3312,2824,341
Bromley,POSSESSION OF WEAPONS,502,552,460,350,26
Bromley,ARSON AND CRIMINAL DAMAGE,3524,3900,4086,4177,323
